id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
178,Saulo Fernandes Melo de Oliveira,"ARRUDA, S. F",2022,"Mood States and Quality of Life in Paralympic Boccia Athetes in the COVID-19 Pandemic. REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE), v. 28, p. 300-305, 2022",artigo,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,,,,,,,,origem=planilha_nova
179,Saulo Fernandes Melo de Oliveira,"ARRUDA, S. F",2023,Can home-based training influence mood states and quality of life in Paralympic boccia athletes?,artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,origem=planilha_nova
180,André dos Santos Costa,"ARRUDA, S. F",2023,Can home-based training influence mood states and quality of life in Paralympic boccia athletes?,artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,origem=planilha_nova
181,Saulo Fernandes Melo de Oliveira,"ARRUDA, S. F",2023,"Bocha paralímpica en brasil: uso de estrategias de afrontamiento en el deporte durante la pandemia de Covid-19. Cuadernos de Psicología del Deporte, v. 23, p. 1-11, 2023",artigo,Cuadernos de Psicología del Deporte,,,,,,Scopus (SJR),,,90,origem=planilha_nova
182,Pedro Pinheiro Paes Neto,"ARRUDA, SIDCLEY FELIX",2023,"Can home-based training influence mood states and quality of life in Paralympic boccia athletes?. Retos-Nuevas Tendencias En Educacion Fisica Deporte Y Recreacion, v. 50, p. 943-949, 2023",artigo,Retos-Nuevas Tendencias En Educacion Fisica Deporte Y Recreacion,,,,,,,,,,origem=planilha_nova
183,Bruno Teixeira Barbosa,"ASSIS, H. M",2022,Correlação entre a força de preensão manual e os fatores da aptidão funcional em idosos,capitulo,,,,,,,,,,45,origem=planilha_nova
184,Saulo Fernandes Melo de Oliveira,"ASSUNCAO, A. K",2021,"Comparison between q angle measurements and their relationship with knee health in women practicing and not practicing futsal. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 21, p. 1505-1509, 2021",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
185,Paulo Felipe Ribeiro Bandeira,"AVILA, F. M",2023,"Psicologia no Brasil: questões formativas, históricas, profissionais e sociais",capitulo,,,,,,,,,,45,origem=planilha_nova
186,Bruno Teixeira Barbosa,"AZEVEDO, A. L. U",2022,Efeito de 12 semanas de treinamento aquático na aptidão funcional de idosos,capitulo,,,,,,,,,,45,origem=planilha_nova
187,Melissa Leandro Celestino,"BACCA, ODAIR",2022,"Compensatory Strategies Due to Knee Flexion Constraint during Gait of Non-Disabled Adults. JOURNAL OF MOTOR BEHAVIOR, v. 54, p. 281-290, 2022",artigo,JOURNAL OF MOTOR BEHAVIOR,,,,,,Scopus (SJR),,,90,origem=planilha_nova
