id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
237,Rafael dos Santos Henrique,"CHALEGRE DA SILVA, LUCAS",2025,"Neural and Muscular Determinants of Performance Fatigability Are Independent of Work and Recovery Durations During High-Intensity Interval Exercise in Males. RESEARCH QUARTERLY FOR EXERCISE AND SPORT, v. 96, p. 338-348, 2025",artigo,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,,,02701367,10.1080/02701367.2025.2515968,,Web of Science (JCR); Scopus (SJR),1.6,Q3,90,origem=planilha_nova
238,Lucas Eduardo Rodrigues dos Santos,"CHAVES, S",2023,"A importância do desenvolvimento do senso de comunidade e cooperação entre startups, empresas, clubes esportivos e universidades brasileiras",capitulo,,,,,,,,,,45,origem=planilha_nova
239,Tony Meireles dos Santos,"CHAVES, S",2023,"SANTOS, TONY M",capitulo,,,,,,,,,,45,origem=planilha_nova
240,Rafael dos Santos Henrique,"CHAVES, S",2023,"A importância do desenvolvimento do senso de comunidade e cooperação entre startups, empresas, clubes esportivos e universidades brasileiras",capitulo,,,,,,,,,,45,origem=planilha_nova
241,Paulo Felipe Ribeiro Bandeira,"CLEMENTE, M. P",2025,"Autism Spectrum Disorder and Assistive Technologies in Primary Care: An Integrative Review. Saúde Coletiva, v. 16, p. 1-7, 2025",artigo,Saúde Coletiva,,,,,,,,,,origem=planilha_nova
242,Ozeas de Lima Lins Filho,"CLIMACO, D. C. S",2022,"Sleep quality in COPD patients: correlation with disease severity and health status. Jornal Brasileiro de Pneumologia (Online), v. 48, p. 1-6, 2022",artigo,Jornal Brasileiro de Pneumologia (Online),,,,,,,,,,origem=planilha_nova
243,Rafael dos Santos Henrique,"CORREIA JUNIOR, M. G. A",2024,Built environment and physical activity of adolescents: an approach with artificial neural networks,artigo,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,,,23171634,10.12820/rbafs.30e0411,,Scopus (SJR),,,90,origem=planilha_nova
244,André dos Santos Costa,"COSTA, A",2023,Pense e Brinque APP,capitulo,,,,,,,,,,45,origem=planilha_nova
245,Paulo Felipe Ribeiro Bandeira,"COSTA, CICERO L. A",2025,"Relationships among motor competence, self-perceived competence and aggressive behavior differ between boys and girls aged 7 to 10: a network perspective. Brazilian Journal of Motor Behavior, v. 19, p. e530-9, 2025",artigo,Brazilian Journal of Motor Behavior,,,,,,Scopus (SJR),,,90,origem=planilha_nova
246,Vilde Gomes de Menezes,"COSTA, M. A. N",2023,"MENEZES, VILDE GOMES DE ; KOHL, H",capitulo,,,,,,,,,,45,origem=planilha_nova
247,Pedro Pinheiro Paes Neto,"COSTA, M. S. F",2023,"Relationship between sleep quality and recovery levels in young swimmers. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 23, p. 3054-3080, 2023",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
248,Pedro Pinheiro Paes Neto,"COSTA, M. S. F",2024,"The impact of sleep during the tapering period on young swimmers: A scientific investigation. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 24, p. 1555-1563, 2024",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
249,Saulo Fernandes Melo de Oliveira,"Costa, Marlene Salvina",2022,"RESPOSTAS DO SONO DE JOVENS NADADORES ÀS CARGAS DE TREINAMENTO E RECUPERAÇÃO, DURANTE O POLIMENTO. REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE), v. 29, p. 1-6, 2022",artigo,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,,,,,,,,origem=planilha_nova
250,Paulo Roberto Cavalcanti Carvalho,"CRUZ, S. T",2024,"The oretical advances on ameloblastoma in aspects related to diagnosis, treatment and clinical variants. Brazilian Journal of Surgery and Clinical Research, v. 48, p. 87-94, 2024",artigo,Brazilian Journal of Surgery and Clinical Research,,,,,,,,,,origem=planilha_nova
251,Guilherme Assunção Ferreira,"DA SILVA, KLEBER J",2022,"Airflow restriction mask induces greater central fatigue after a non-exhaustive high-intensity interval exercise. SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS, v. 32, p. 487-497, 2022",artigo,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,,,,,,Scopus (SJR),,,90,origem=planilha_nova
252,Paulo Felipe Ribeiro Bandeira,"DA SILVA, LUANNA GOMES",2021,"Beliefs and attitudes towards child epilepsy: A structural equation model. SEIZURE-EUROPEAN JOURNAL OF EPILEPSY, v. 84, p. 53-59, 2021",artigo,SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,,,,,,,,,,origem=planilha_nova
253,Paulo Felipe Ribeiro Bandeira,"DA SILVA, MORGANA ALVES CORREIA",2025,"Association Between Motor Competence, Executive Functions, and Self-Regulation: A Complex Systems Approach. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 37, p. 1-8, 2025",artigo,AMERICAN JOURNAL OF HUMAN BIOLOGY,,,10420533,10.1002/ajhb.70024,,Web of Science (JCR); Scopus (SJR),1.7,Q1,90,origem=planilha_nova
254,Paulo Felipe Ribeiro Bandeira,"DA SILVA, MORGANA ALVES CORREIA",2024,"Evidence of validity of the Head-Toes-Knees-Shoulders Revised (HTKS-R) for Brazilian children. CHILD NEUROPSYCHOLOGY, v. 30, p. 1-12, 2024",artigo,CHILD NEUROPSYCHOLOGY,,,,,,Scopus (SJR),,,90,origem=planilha_nova
255,André dos Santos Costa,"DA SILVA, RAYSSA LAÍS FERREIRA",2021,"Efeitos da atividade física e Índice de Massa Corporal sob o ciclo menstrual em adolescentes: uma revisão da literatura. PRAXIA - REVISTA ON LINE DE EDUCAÇÃO FÍSICA DA UEG, v. 3, p. e2021009, 2021",artigo,PRAXIA - REVISTA ON LINE DE EDUCAÇÃO FÍSICA DA UEG,,,,,,,,,,origem=planilha_nova
256,André dos Santos Costa,"DA SILVA, RAYSSA LAÍS FERREIRA",2024,"Distúrbios no ciclo menstrual, estado nutricional e nível de atividade física de adolescentes: Um estudo transversal observacional. REVISTA CEREUS, v. 16, p. 184-194, 2024",artigo,REVISTA CEREUS,,,,,,,,,,origem=planilha_nova
257,Clarice Maria de Lucena Martins,"DA SILVA, RENNÊ H",2022,"Physical activity during school-time and fundamental movement skills: a study among preschoolers with and without physical education classes. Physical Education and Sport Pedagogy, v. 14, p. 1-13, 2022",artigo,Physical Education and Sport Pedagogy,,,,,,Scopus (SJR),,,90,origem=planilha_nova
258,André dos Santos Costa,"DA SILVA, REYANNE MARIA",2024,"Influência da atividade física na prevalência da Síndrome pré-menstrual em adolescentes. REVISTA CEREUS, v. 16, p. 415-426, 2024",artigo,REVISTA CEREUS,,,,,,,,,,origem=planilha_nova
259,Guilherme Assunção Ferreira,"DA SILVA, WIDEMAR FERRAZ",2023,"Is caffeine mouth rinsing an effective strategy to improve physical and cognitive performance? A systematic review. CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION, v. 63, p. 438-446, 2023",artigo,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,,,,,,Scopus (SJR),,,90,origem=planilha_nova
260,Eduardo Zapaterra Campos,"DAMASCENO, V. O",2023,"Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables. Human Movement, v. 24, p. 1-10, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
261,André dos Santos Costa,"DAMASCENO, V. O",2023,"Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables. Human Movement, v. 24, p. 52-61, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
262,André dos Santos Costa,"DAMASCENO, V. O",2022,"Criterion validity and accuracy of a heart rate monitor. Human Movement, v. 23, p. 60-68, 2022",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
263,Eduardo Zapaterra Campos,"DAMASCENO, VINICIUS",2025,Validade e fiabilidade de dois testes submáximos para estimar o consumo máximo de oxigénio em adultos,artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,origem=planilha_nova
264,Tony Meireles dos Santos,"DAMASCENO, VINICIUS",2022,"Criterion validity and accuracy of a heart rate monitor. Human Movement, v. 23, p. 1-0, 2022",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
265,Eduardo Zapaterra Campos,"DAMASCENO, VINICIUS",2022,"Criterion validity and accuracy of a heart rate monitor. Human Movement, v. 23, p. 60-68, 2022",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
266,Tony Meireles dos Santos,"DAMASCENO, VINICIUS",2023,"Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables. Human Movement, v. 24, p. 1-10, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
267,Lucas Eduardo Rodrigues dos Santos,"DAMASCENO, VINICIUS",2023,"Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables. Human Movement, v. 24, p. 1-10, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
268,Saulo Fernandes Melo de Oliveira,"DANTAS, M. J. B",2021,"Política, Biossegurança, Jogos Olímpicos e Paralímpicos Tóquio 2020. RESEARCH, SOCIETY AND DEVELOPMENT, v. 10, p. 1-10, 2021",artigo,"RESEARCH, SOCIETY AND DEVELOPMENT",,,,,,,,,,origem=planilha_nova
269,Paulo Roberto Cavalcanti Carvalho,"DE AMORIM, GERALDO JOSÉ",2022,"Sarcopenia in Non-Dialysis Chronic Kidney Disease Patients: Prevalence and Associated Factors. FRONTIERS IN MEDICINE, v. 9, p. 01-10, 2022",artigo,FRONTIERS IN MEDICINE,,,,,,Scopus (SJR),,,90,origem=planilha_nova
270,Paulo Felipe Ribeiro Bandeira,"DE CASTRO SILVEIRA, JOÃO FRANCISCO",2026,Are health- and skill-related truly separate components of physical fitness in youth?,artigo,SPORT SCIENCES FOR HEALTH (TESTO STAMPATO),,,18247490,10.1007/s11332-024-01295-5,,Web of Science (JCR); Scopus (SJR),1.3,Q3,90,origem=planilha_nova
271,Rafael dos Santos Henrique,"DE OLIVEIRA, ILANA SANTOS",2022,"Comment on ¿A high periconceptional maternal ultra-processed food consumption impairs embryonic growth: The Rotterdam periconceptional cohort¿ clinical nutrition 2022. CLINICAL NUTRITION, v. 41, p. 2410-2411, 2022",artigo,CLINICAL NUTRITION,,,24102411,,,Scopus (SJR),,,90,origem=planilha_nova
272,Rafael dos Santos Henrique,"DE SOUSA FERNANDES, MATHEUS SANTOS",2022,"Effects of aerobic exercise training in oxidative metabolism and mitochondrial biogenesis markers on prefrontal cortex in obese mice. BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION, v. 14, p. 213, 2022",artigo,"BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION",,,20521847,10.1186/s13102-024-01052-8,,Web of Science (JCR); Scopus (SJR),2.8,Q1,90,origem=planilha_nova
273,Rafael dos Santos Henrique,"DE SOUSA FERNANDES, MATHEUS SANTOS",2023,"Physical Exercise Decreases Endoplasmic Reticulum Stress in Central and Peripheral Tissues of Rodents: A Systematic Review. European Journal Of Investigation In Health Psychology And Education, v. 13, p. 1082-1096, 2023",artigo,European Journal Of Investigation In Health Psychology And Education,,,10821096,,,Scopus (SJR),,,90,origem=planilha_nova
274,Tony Meireles dos Santos,"DE SOUSA FERNANDES, MATHEUS SANTOS",2022,"Undernutrition modulates endoplasmic reticulum stress genes in the hippocampus of juvenile rats: Involvement of oxidative stress. BRAIN RESEARCH, v. 1, p. 148098, 2022",artigo,BRAIN RESEARCH,,,,,,Scopus (SJR),,,90,origem=planilha_nova
275,Tony Meireles dos Santos,"DE SOUSA FERNANDES, MATHEUS SANTOS",2022,"Cytokines and Immune Cells Profile in Different Tissues of Rodents Induced by Environmental Enrichment: Systematic Review. INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES, v. 23, p. 11986, 2022",artigo,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,,,,,,Scopus (SJR),,,90,origem=planilha_nova
276,Bruno Teixeira Barbosa,"DE SOUSA FORTES, LEONARDO",2024,"Effect of mental fatigue on decision-making skill during simulated congested match schedule in professional soccer athletes. CURRENT PSYCHOLOGY, v. 43, p. 1785-1793, 2024",artigo,CURRENT PSYCHOLOGY,,,17851793,,,Scopus (SJR),,,90,origem=planilha_nova
277,Paulo Felipe Ribeiro Bandeira,"DE SOUZA FILHO, ANASTÁCIO NECO",2026,"Inequities in Access: Public Open Spaces and Physical Activity Disparities Among Brazilian Preschoolers in Vulnerable Communities. Journal of Physical Activity & Health, v. 23, p. 1-8, 2026",artigo,Journal of Physical Activity & Health,,,,,,Scopus (SJR),,,90,origem=planilha_nova
278,Clarice Maria de Lucena Martins,"DE SOUZA, ALESANDRA ARAÚJO",2023,"Paths towards a healthier BMI among short and adequate sleepers: A pathway network analysis considering movement behaviors in low-income preschoolers. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 35, p. 12, 2023",artigo,AMERICAN JOURNAL OF HUMAN BIOLOGY,,,10420533,10.1002/ajhb.70024,,Web of Science (JCR); Scopus (SJR),1.7,Q1,90,origem=planilha_nova
279,Tony Meireles dos Santos,"DE SOUZA, DANILO",2023,"Validity of the Borg 6-20 categories obtegories obtained in incremental testing for prescribing aerobic exercise intensity: a systematic review. Human Movement, v. 24, p. 46-55, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
280,Eduardo Zapaterra Campos,"DE SOUZA, DANILO",2023,"Validity of the Borg 6-20 categories obtegories obtained in incremental testing for prescribing aerobic exercise intensity: a systematic review. Human Movement, v. 24, p. 1, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
281,Pedro Pinheiro Paes Neto,"DE SOUZA, GUSTAVO",2021,"CONSEQUENCES OF COVID-19 PREVENTIVE MEASURES ON ANXIETY, STRESS AND DEPRESSION IN FOOTBALL ATHLETES. SOCCER AND SOCIETY, v. 1, p. 1-9, 2021",artigo,SOCCER AND SOCIETY,,,,,,Scopus (SJR),,,90,origem=planilha_nova
282,Pedro Pinheiro Paes Neto,DELFA‐,2024,"Single-Leg Balance and Lower Limb Strength: Quantitative Analysis with the Balance Master System. Journal Of Functional Morphology And Kinesiology, v. 9, p. 01-10, 2024",artigo,Journal Of Functional Morphology And Kinesiology,,,,,,Scopus (SJR),,,90,origem=planilha_nova
283,Pedro Pinheiro Paes Neto,"DELFA-DE-LA-MORENA, JOSÉ MANUEL",2025,"Effects of Physical Activity Level, Strength, Balance, and Body Composition on Perceived Health in Healthy Adults",artigo,SPORTS,,,20754663,10.3390/sports14020070,,Scopus (SJR),,,90,origem=planilha_nova
284,Pedro Pinheiro Paes Neto,"DELFA-DE-LA-MORENA, JOSÉ MANUEL",2025,Efectos de la sincronización musical y de las preferencias musicales en la respuesta fisiológica durante una sesión de ejercicio físico: un estudio cuasi experimental,artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,origem=planilha_nova
285,André dos Santos Costa,"DIAS, T. E. M",2022,"Spatial incompatibility training can prevent the ocurrence of the enhanced Simon effect in elderly. ESTUDOS DE PSICOLOGIA, v. 39, p. 1-13, 2022",artigo,ESTUDOS DE PSICOLOGIA,,,,,,,,,,origem=planilha_nova
286,Paulo Roberto Cavalcanti Carvalho,"DINIZ, L. F. A",2024,"Quality of life, physical activity, and socieconomic status of candidates to Bariatric Surgery: Cross-sectional study. MOTRICIDADE (SANTA MARIA DA FEIRA), v. 19, p. 1-10, 2024",artigo,MOTRICIDADE (SANTA MARIA DA FEIRA),,,,,,,,,,origem=planilha_nova
287,Daniela Karina da Silva Ferreira,"DINZ, I. M",2026,"TREINAMENTO DE FORÇA PARA INDIVÍDUOS ACIMA DE 45 ANOS COM DIAGNÓSTICO DE OSTEOPOROSE: UM ESTUDO DE REVISÃO. Revista Interfaces: Saúde, Humanas e Tecnologia, v. 14, p. 6574-6588, 2026",artigo,"Revista Interfaces: Saúde, Humanas e Tecnologia",,,65746588,,,,,,,origem=planilha_nova
288,Tony Meireles dos Santos,"DO COUTO, MOISÉS COSTA",2021,"Comment: Kay et al.?s (2020) Isokinetic eccentric exercise substantially improves mobility, muscle strength, and size, but not postural sway metrics in older adults with limited regression observed following a detraining period. Eur J Appl Physiol. EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY, v. 161, p. 1795-1796, 2021",artigo,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,,,17951796,,,Scopus (SJR),,,90,origem=planilha_nova
289,André dos Santos Costa,"do Nascimento, Higor Vinicius Alves",2021,ESTUDO DE POLIMORFISMOS NO GENE RECEPTOR DA VITAMINA D EM PACIENTES COM A DOENÇA DE ALZHEIMER,capitulo,,,,,,,,,,45,origem=planilha_nova
290,Pedro Pinheiro Paes Neto,"DOS SANTOS, WR",2021,"Effect of strength training on people with HIV and immunometabolic disorders. ARCHIVOS DE MEDICINA DEL DEPORTE, v. 38, p. 163-167, 2021",artigo,ARCHIVOS DE MEDICINA DEL DEPORTE,,,,,,Scopus (SJR),,,90,origem=planilha_nova
291,Clarice Maria de Lucena Martins,"DUNCAN, MICHAEL J",2022,"TGMD-3 short version: Evidence of validity and associations with sex in Irish children. JOURNAL OF SPORTS SCIENCES, v. 40, p. 138-145, 2022",artigo,JOURNAL OF SPORTS SCIENCES,,,02640414,10.1080/02640414.2025.2540202,,Web of Science (JCR); Scopus (SJR),2.5,Q2,90,origem=planilha_nova
292,Eduardo Zapaterra Campos,"DUTRA, YAGO MEDEIROS",2021,"Photobiomodulation 30 min or 6 h Prior to Cycling Does Not Alter Resting Blood Flow Velocity, Exercise-Induced Physiological Responses or Time to Exhaustion in Healthy Men. Frontiers in Physiology, v. 11, p. 607302, 2021",artigo,Frontiers in Physiology,,,,,,Scopus (SJR),,,90,origem=planilha_nova
293,Paulo Felipe Ribeiro Bandeira,"EDUARDO FERREIRA MAIA, DOUGLAS",2025,What school environment characteristics influence the physical fitness of low-income schoolchildren?-Qué características del entorno escolar influyen en la aptitud física de los escolares de bajos ingresos?Que características do ambiente escolar influenciam a aptidão física das crianças em idade escolar de baixos rendimentos?,artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,origem=planilha_nova
294,Bruno Teixeira Barbosa,"FARO, HELOIANA",2023,"Young Basketball Players? Multiple Object Tracking Skills Were Unaffected by Stroop-Induced Mental Fatigue. PERCEPTUAL AND MOTOR SKILLS, v. 130, p. 2161-2176, 2023",artigo,PERCEPTUAL AND MOTOR SKILLS,,,21612176,,,Scopus (SJR),,,90,origem=planilha_nova
295,Bruno Teixeira Barbosa,"FARO, HELOIANA",2022,"Sport-based video game causes mental fatigue and impairs visuomotor skill in male basketball players. INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY, v. 21, p. 1-15, 2022",artigo,INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,,,1612197X,10.1080/1612197x.2024.2446329,,Web of Science (JCR); Scopus (SJR),2.3,Q2,90,origem=planilha_nova
296,Bruno Teixeira Barbosa,"FARO, HELOIANA",2025,"Do prolonged social media use or cognitive tasks impair neuroelectric and visuomotor performance in taekwondo athletes? A randomized and controlled trial. PSYCHOLOGY OF SPORT AND EXERCISE, v. 76, p. 102768, 2025",artigo,PSYCHOLOGY OF SPORT AND EXERCISE,,,,,,Scopus (SJR),,,90,origem=planilha_nova
297,Ozeas de Lima Lins Filho,"FASIHI, L. (Org.)",2026,"(Org.) ; AMARO-GAHETE, F",livro,,,,,,,,,,90,origem=planilha_nova
298,Daniel da Rocha Queiroz,"FEITOSA, S. B",2025,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",artigo,Motriz,,,19806574,10.5016/s1980-6574e10248467,,Scopus (SJR),,,90,origem=planilha_nova
299,Ozeas de Lima Lins Filho,"FEITOSA, S. B",2025,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",artigo,Motriz,,,19806574,10.5016/s1980-6574e10248467,,Scopus (SJR),,,90,origem=planilha_nova
300,Paulo Felipe Ribeiro Bandeira,"FELIN FOCHESATTO, CAMILA",2023,"A network analysis involving mental difficulties, cognition, physical fitness, 24-hour movement components, fatness, and sociodemographic factors in children. Journal of Exercise Science & Fitness, v. 24, p. 1-12, 2023",artigo,Journal of Exercise Science & Fitness,,,,,,Scopus (SJR),,,90,origem=planilha_nova
301,Saulo Fernandes Melo de Oliveira,"FERNANDES, T. L. B",2021,"Single marker method to estimate center-of-mass velocity during vertical jumps. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 5, p. 2458-2465, 2021",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
302,Saulo Fernandes Melo de Oliveira,"FERNANDES, T. L. B",2022,"Contribuições da velocidade resultante sobre o desempenho de lançadores de disco paralímpicos classes F-44 e F-46. Revista Brasileira de Ciências do Esporte, v. 44, p. 1-6, 2022",artigo,Revista Brasileira de Ciências do Esporte,,,,,,Scopus (SJR),,,90,origem=planilha_nova
303,Paulo Felipe Ribeiro Bandeira,"FERREIRA DA SILVA, LARA SUELE",2024,"Associação entre comportamentos de movimento 24 horas e ansiedade em crianças após o isolamento social. REVISTA DE CIENCIAS DE LA ACTIVIDAD FÍSICA, v. 25, p. 1-17, 2024",artigo,REVISTA DE CIENCIAS DE LA ACTIVIDAD FÍSICA,,,,,,,,,,origem=planilha_nova
304,Guilherme Assunção Ferreira,"FERREIRA, GUILHERME A",2021,"Extract Increases Oxygen Uptake without Changes in Neuromuscular Fatigue Development during a High-Intensity Interval Exercise. JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION, v. 40, p. 419-428, 2021",artigo,JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,,,,,,Scopus (SJR),,,90,origem=planilha_nova
305,Guilherme Assunção Ferreira,"FERREIRA, GUILHERME A",2021,"Caffeine intake reduces sedentary time and increases physical activity predisposition in obese police officers. BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH, v. 54, p. e11556, 2021",artigo,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,,,,,,Scopus (SJR),,,90,origem=planilha_nova
306,Vilde Gomes de Menezes,"Figueira, Tiago Miguel Neves",2022,POLÍTICAS PÚBLICAS DE DESPORTO NA ÁREA METROPOLITANA DE LISBOA,capitulo,,,,,,,,,,45,origem=planilha_nova
307,Tony Meireles dos Santos,"FILGUEIRA, TAYRINE ORDONIO",2021,"The Relevance of a Physical Active Lifestyle and Physical Fitness on Immune Defense: Mitigating Disease Burden, With Focus on COVID-19 Consequences. Frontiers in Immunology, v. 12, p. 1-23, 2021",artigo,Frontiers in Immunology,,,,,,Scopus (SJR),,,90,origem=planilha_nova
308,Eduardo Zapaterra Campos,"FILGUEIRA, TAYRINE ORDONIO",2021,"The Relevance of a Physical Active Lifestyle and Physical Fitness on Immune Defense: Mitigating Disease Burden, With Focus on COVID-19 Consequences. Frontiers in Immunology, v. 12, p. 587146, 2021",artigo,Frontiers in Immunology,,,,,,Scopus (SJR),,,90,origem=planilha_nova
309,Paulo Roberto Cavalcanti Carvalho,"FILGUEIRA, TAYRINE ORDONIO",2023,"The impact of supervised physical exercise on chemokines and cytokines in recovered COVID-19 patients. Frontiers in Immunology, v. 13, p. 01-12, 2023",artigo,Frontiers in Immunology,,,,,,Scopus (SJR),,,90,origem=planilha_nova
310,Rafael dos Santos Henrique,"FILTER-RUGER, A",2022,"How does curve sprint evolve across different age-categories in soccer players?. BIOLOGY OF SPORT, v. 39, p. 53-58, 2022",artigo,BIOLOGY OF SPORT,,,0860021X,10.5114/biolsport.2025.151650,,Web of Science (JCR); Scopus (SJR),5.0,Q1,90,origem=planilha_nova
311,Paulo Felipe Ribeiro Bandeira,"FIORI, J. M",2022,"The Impact of a Swimming Training Season on Anthropometrics, Maturation, and Kinematics in 12-Year-Old and Under Age-Group Swimmers: A Network Analysis",artigo,Frontiers in Sports and Active Living,,,26249367,10.3389/fspor.2025.1724991,,Web of Science (JCR); Scopus (SJR),2.6,Q2,90,origem=planilha_nova
312,André dos Santos Costa,"FLORENCIO JUNIOR, P. G",2023,Efeito agudo da prática esportiva com engajamento cognitivo nas funções executivas em crianças,artigo,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,,,23171634,10.12820/rbafs.30e0411,,Scopus (SJR),,,90,origem=planilha_nova
313,Bruno Teixeira Barbosa,"FORTES, L. S",2021,"Playing videogames or using social media applications on smartphones causes mental fatigue and impairs decision-making performance in amateur boxers. Applied Neuropsychology-Adult, p. 1-12, 2021",artigo,,,,,,,,,,,origem=planilha_nova
314,Bruno Teixeira Barbosa,"FORTES, LEONARDO S",2021,"Effects of Mental Fatigue Induced by Social Media Use on Volleyball Decision-Making, Endurance, and Countermovement Jump Performance. PERCEPTUAL AND MOTOR SKILLS, v. 128, p. 2745-2766, 2021",artigo,PERCEPTUAL AND MOTOR SKILLS,,,27452766,,,Scopus (SJR),,,90,origem=planilha_nova
315,Tony Meireles dos Santos,"FRAGA, JOÃO VICTOR CAVALCANTI",2024,"Locomotor profile of a new soccer modality played in 1v1 format. SPORT SCIENCES FOR HEALTH (TESTO STAMPATO), p",artigo,,,,,,,,,,,origem=planilha_nova
316,Bruno Teixeira Barbosa,"FRANCA, M. M. G",2022,Os efeitos do exercício físico na qualidade do sono de adultos e idosos: uma revisão de literatura,capitulo,,,,,,,,,,45,origem=planilha_nova
317,André dos Santos Costa,"FRANCELINO, J. O",2024,"Nível de Atividade Física, Consumo Alimentar, Estresse e Sinais e Sintomas de Disbiose Intestinal em Pós-graduandos em Educação Física Durante a Pandemia do COVID-19. REVISTA CEREUS, v. 16, p. 209-224, 2024",artigo,REVISTA CEREUS,,,,,,,,,,origem=planilha_nova
318,Pedro Pinheiro Paes Neto,"FREITAS JÚNIOR, C. G",2021,"Effects of different training strategies with a weight vest on countermovement vertical jump and change-of-direction ability in male volleyball athletes. THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS, v. 61, p. 1, 2021",artigo,THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,,,18271928,10.23736/S0022-4707.25.16698-X,,Web of Science (JCR); Scopus (SJR),,,90,origem=planilha_nova
319,Pedro Pinheiro Paes Neto,"FREITAS JÚNIOR, C. G",2021,"Reliability of the high-speed camera-based system (HSC-KINOVEA) for lower-limb explosive strength endurance assessment in athletes. Journal of Physical Education, v. 32, p. 1-8, 2021",artigo,Journal of Physical Education,,,,,,,,,,origem=planilha_nova
320,Saulo Fernandes Melo de Oliveira,"FREITAS, L. J. F",2021,"Reasons for adhering to the practice of paralympic athletics in adults with physical disabilities. Motricidade, v. 17, p. 359-366, 2021",artigo,Motricidade,,,,,,Scopus (SJR),,,90,origem=planilha_nova
321,Ozeas de Lima Lins Filho,"GERMANO-SOARES, ANTONIO HENRIQUE",2021,"Combinations of physical activity, sedentary behavior, and sleep and health outcomes in older adults: a systematic review protocol",artigo,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,,,23171634,10.12820/rbafs.30e0411,,Scopus (SJR),,,90,origem=planilha_nova
322,Eduardo Zapaterra Campos,"GEROSA NETO, J",2023,"GEROSA NETO, J",capitulo,,,,,,,,,,45,origem=planilha_nova
