id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
20,Breno Quintella Farah,"BRAGHIERI, HELOISA AMARAL",2026,Effect of Resistance Exercise on Ambulatory Blood Pressure: Systematic Review and Meta- Analysis,artigo,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,,,01724622,10.1055/a-2688-5151,,Web of Science (JCR); Scopus (SJR),2.2,Q2,90,
21,Breno Quintella Farah,"AGUIAR, JOSÉ LUCAS PORTO",2025,"Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial",artigo,Journal of Human Hypertension,,,14765527,10.1038/s41371-025-01080-y,,Web of Science (JCR); Scopus (SJR),3.4,Q2,90,
22,Breno Quintella Farah,"ANDRADE-LIMA, ALUÍSIO",2026,Light physical activity and sedentary time are associated with multiple comorbid conditions in patients with peripheral artery disease,artigo,JOURNAL OF VASCULAR NURSING,,,10620303,10.1016/j.jvn.2025.09.002,,Web of Science (JCR); Scopus (SJR),1.2,Q3,90,
23,Carla Meneses Hardman,"ROCHA, KAROLINE BARRETO DA SILVA",2025,Comportamentos de Movimento de 24 horas em Crianças e Adolescentes: Protocolo de Revisão de Escopo,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n4-164,,,,,,
24,Carla Meneses Hardman,"CUNHA, ADOLFO LUIZ REUBENS DA",2025,Intervenção comunitária baseada em exercícios físicos e autocuidado na qualidade do sono em idosos: ensaio randomizado,artigo,REVISTA FISIO&TERAPIA,,,16780817,10.69849/revistaft/dt10202504282217,,,,,,
25,Carla Meneses Hardman,"CARDOSO, D. S",2025,"Latent class analysis of physical activity, screen time and sleep: Association with obesity in youth",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,
26,Carla Meneses Hardman,"FEITOSA, S. B",2025,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",artigo,Motriz,,,19806574,10.5016/s1980-6574e10229089,,Scopus (SJR),,,90,
27,Carla Meneses Hardman,"CARDOSO, D. S",2025,"Associação entre atividade física, tempo de ecrã e recomendações de sono com excesso de peso em adolescentes",artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
28,Carla Meneses Hardman,"FREIRE, J. C",2025,Relação dos indicadores de atividade física com o estresse ocupacional e a Síndrome de Burnout em policiais: um protocolo de revisão sistemática,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-066,,,,,,
29,Carla Meneses Hardman,"SILVA, I. N. L",2025,Associação entre o nível de atividade física e os domínios da síndrome de burnout em servidores da Polícia Federal do Brasil,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-068,,,,,,
