Carimbo de data/hora,Nome do docente,Anos de vigência da captação [2021],Anos de vigência da captação [2022],Anos de vigência da captação [2023],Anos de vigência da captação [2024],Anos de vigência da captação [2025],Anos de vigência da captação [2026],Anos de vigência da captação [2027],Anos de vigência da captação [2028],Anos de vigência da captação [2029],Anos de vigência da captação [2030],Anos de vigência da captação [2031],"Título do projeto, auxílio, bolsa ou captação",Tipo de captação,Situação da captação,Agência ou fonte de fomento,Nome do edital ou chamada,Número do edital ou chamada,Ano do edital,Valor total aprovado,Valor aprovado para capital,Valor aprovado para consumo/custeio,Valor aprovado para bolsas,"Caso a captação envolva bolsa, informe a destinação",Quantidade de bolsas,Duração total das bolsas em meses,Valor total destinado às bolsas,Número de alunos de mestrado vinculados,Número de alunos de doutorado vinculados
11/06/2026 23:35:20,Bruno Teixeira Barbosa,,,,Sim,,,,,,,,Efeitos da privação parcial do sono no desempenho percepto-cognitivo ao teste visuomotor de defesa em atletas treinados de voleibol,Bolsa,Concluída,PROPESQI/UFPE,"Edital PROPESQI nº 004/2024:PIBIC/UFPE/CNPq, PIBIC-Af/UFPE/CNPq, PIBITI/UFPE/CNPq",Edital PROPESQI nº 004/2024,2024,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9.600,0,0
11/06/2026 23:37:50,Bruno Teixeira Barbosa,,,,Sim,,,,,,,,Desenvolvimento e reprodutibilidade de teste-reteste de um método de avaliação visuomotora específica do futsal: Teste de Acurácia do Passe,Bolsa,Em execução,CNPq,Edital PROPESQI nº 004/2025:PIBIC/UFPE/CNPq,Edital PROPESQI nº 004/2025,2025,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9.600,0,0
11/06/2026 17:00:47,Daniel da Rocha Queiroz,,,,,,Sim,Sim,,,,,Bolsa de mestrado FACEPE 2026.1,Bolsa,Em execução,FACEPE,FACEPE - PROGRAMA DE BOLSAS DE PÓS-GRADUAÇÃO  (1º SEMESTRE/2026) ,EDITAL FACEPE 38/2025,2025,"R$ 57.600,00","R$ 0,00","R$ 0,00","R$ 57.600,00",Mestrado,1,24,57600.00,1,0
11/06/2026 17:09:05,Daniel da Rocha Queiroz,,Sim,Sim,,,,,,,,,Bolsa de Iniciação Cientifica - FACEPE ,Bolsa,Concluída,FACEPE,EDITAL FACEPE 05/2022 – PIBIC 2022 ,05/2022,2022,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 6.000,00",Iniciação científica,1,12,6000,0,0
11/06/2026 17:20:00,Daniel da Rocha Queiroz,,,,,Sim,Sim,,,,,,INICIAÇÃO CIENTIFICA EDITAL FACEPE Nº 01/2025 ,Bolsa,Em execução,FACEPE,EDITAL FACEPE Nº 01/2025 , 01/2025 ,2025,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9600,0,0
11/06/2026 21:10:08,Daniel da Rocha Queiroz,,,Sim,,,,,,,,,EDITAL PROPESQI Nº 05/2023 -  EDITAL DE APOIO À PRODUÇÃO QUALIFICADA,Auxílio individual,Concluída,PROPESQI/UFPE,EDITAL PROPESQI Nº 05/2023 -  EDITAL DE APOIO À PRODUÇÃO QUALIFICADA,Nº 05/2023,2023,"R$ 3.000,00","R$ 3.000,00","R$ 0,00","R$ 0,00",Não se aplica,0,0,0,0,0
11/06/2026 21:12:55,Daniel da Rocha Queiroz,,,,Sim,Sim,,,,,,,AditivoNº01aoEditalNº18/2023 ChamadaPúblicaInterna-EstímuloàInovaçãonoÂmbitodePráticasdeEnsinonaGraduação,Projeto de inovação/tecnologia,Concluída,Outra,PROGRAD AditivoNº01aoEditalNº18/2023 ChamadaPúblicaInterna-EstímuloàInovaçãonoÂmbitodePráticasdeEnsinonaGraduação,Aditivo Nº01 ao Edital Nº18/2023,2023,"R$ 49.289,97","R$ 46.525,86","R$ 3.158,76","R$ 0,00",Não se aplica,0,0,0,0,0
11/06/2026 21:16:26,Daniel da Rocha Queiroz,,,,,,Sim,,,,,,EDITAL PROPESQI N° 03/2026   EDITAL INSTITUCIONAL DE APOIO A JOVENS PESQUISADORES ,Projeto de pesquisa,Aprovada,PROPESQI/UFPE,EDITAL PROPESQI N° 03/2026   EDITAL INSTITUCIONAL DE APOIO A JOVENS PESQUISADORES ,N° 03/2026 ,2026,"R$ 10.000,00","R$ 0,00","R$ 10.000,00","R$ 0,00",Não se aplica,0,0,0,0,0
15/06/2026 13:20:56,Eduardo Zapaterra Campos,Sim,Sim,,,,,,,,,,Efeitos agudos e crônicos do treinamento intervalado de alta intensidade associado à suplementação de nitrato de sódio sobre parâmetros aeróbios e desempenho de sujeitos fisicamente ativos,Projeto de pesquisa,Concluída,CNPq,UNIVERSAL 2018,Chamada MCTIC/CNPq Nº 28/2018,2021,"R$ 30.000,00","R$ 20.000,00",10000,0,Não se aplica,0,0,0,1,0
15/06/2026 13:23:16,Eduardo Zapaterra Campos,,,Sim,Sim,Sim,Sim,Sim,,,,,Efeito da suplementação de gel de nitrato comercial durante a prova na durabilidade e desempenho de ciclistas,Projeto de pesquisa,Em execução,CNPq,Universal 2023,Chamada CNPq/MCTI Nº 10/2023,2023,"R$ 47.000,00","R$ 12.000,00",37000,0,Não se aplica,0,0,0,1,1
