Carimbo de data/hora,Nome do docente,Anos de vigência da captação [2021],Anos de vigência da captação [2022],Anos de vigência da captação [2023],Anos de vigência da captação [2024],Anos de vigência da captação [2025],Anos de vigência da captação [2026],Anos de vigência da captação [2027],Anos de vigência da captação [2028],Anos de vigência da captação [2029],Anos de vigência da captação [2030],Anos de vigência da captação [2031],"Título do projeto, auxílio, bolsa ou captação",Tipo de captação,Situação da captação,Agência ou fonte de fomento,Nome do edital ou chamada,Número do edital ou chamada,Ano do edital,Valor total aprovado,Valor aprovado para capital,Valor aprovado para consumo/custeio,Valor aprovado para bolsas,"Caso a captação envolva bolsa, informe a destinação",Quantidade de bolsas,Duração total das bolsas em meses,Valor total destinado às bolsas,Número de alunos de mestrado vinculados,Número de alunos de doutorado vinculados
14/06/2026 10:44:30,Tony Meireles dos Santos,,,Sim,,,,,,,,,sUrFPE de Letramento no Surfe: Proposta de Inovação do ensino em Educação Física ,Infraestrutura,Concluída,PROPG/UFPE, Estímulo à Inovação no âmbito das práticas de ensino na Graduação ,Edital 18/2023,2023,"R$ 48.222,25","R$ 34.286,40","R$ 14.042,30","R$ 0,00",Não se aplica,0,0,0,2,2
14/06/2026 10:46:31,Tony Meireles dos Santos,,,,,,Sim,Sim,Sim,,,,ESTRATÉGIA DE MICRO-LEARNING ORIENTADA AO LETRAMENTO FÍSICO NO SURFE EM CRIANÇAS E ADOLESCENTES EM VULNERABILIDADE SOCIAL,Bolsa,Em execução,FACEPE,EDITAL FACEPE,38/2025,2025,"R$ 57.600,00","R$ 0,00","R$ 0,00","R$ 57.600,00",Mestrado,1,24,57600,2,1
14/06/2026 11:07:28,Tony Meireles dos Santos,,Sim,Sim,Sim,,,,,,,,EFEITOS DA ESTIMULAÇÃO POR ÁUDIOS BINAURAIS E DE EXERCÍCIOS AUTOSSELECIONADOS NAS RESPOSTAS INTEROCEPTIVAS E PERCEPTUAIS DE INDIVÍDUOS COM SINTOMAS DE DEPRESSÃO,Projeto de pesquisa,Concluída,FACEPE,AUXÍLIO A PROJETOS DE PESQUISA PARA PESQUISADORES EMERGENTES – APQ - EMERGENTES,29/2022,2022,"R$ 51.640,00","R$ 35.000,00","R$ 4.640,00","R$ 12.000,00",Apoio técnico,2,12,12000,0,0
14/06/2026 11:14:05,Tony Meireles dos Santos,,,Sim,Sim,Sim,Sim,Sim,,,,,EFEITOS PSICOFISIOLÓGICOS DAS ORIENTAÇÕES DE ATIVIDADES FÍSICAS DOMICILIARES POR UM APLICATIVO MOBILE VERSUS POR CARTILHA EM SOBREVIVENTES DE CÂNCER DE MAMA: UM ENSAIO CLÍNICO RANDOMIZADO,Bolsa,Em execução,FACEPE,PROGRAMA DE CONCESSÃO DE   BOLSAS DE PÓS-GRADUAÇÃO,EDITAL FACEPE 35/2022 ,2022,"R$ 144.000,00","R$ 0,00","R$ 0,00","R$ 144.000,00",Doutorado,1,48,144000,0,1
14/06/2026 11:29:11,Tony Meireles dos Santos,,,Sim,Sim,Sim,,,,,,,"Efeito da terapia do surfe na saúde física, mental e nas respostas interoceptivas e perceptuais em indivíduos com sintomas de depressão e ansiedade: um ensaio clínico randomizado",Bolsa,Concluída,FACEPE,CONCESSÃO DE BOLSAS DE PÓS-GRADUAÇÃO STRICTO SENSU (1º SEMESTRE/2023),EDITAL FACEPE 35/2022,2022,"R$ 48.000,00","R$ 0,00","R$ 0,00","R$ 48.000,00",Mestrado,1,24,48000,1,0
14/06/2026 11:35:22,Tony Meireles dos Santos,,,,,Sim,Sim,Sim,,,,,GRUPOS OPERATIVOS E SURF COMO INTERVENÇÃO TERAPÊUTICA NO CUIDADO À SAÚDE INTEGRAL DE JOVENS UNIVERSITÁRIOS,Bolsa,Em execução,FACEPE,PROGRAMA DE BOLSAS DE PÓS-GRADUAÇÃO (1º SEMESTRE/2025),EDITAL FACEPE 29/2024,2024,"R$ 50.400,00","R$ 0,00","R$ 0,00","R$ 50.400,00",Mestrado,1,24,50400,1,0
14/06/2026 14:27:06,Tony Meireles dos Santos,,,Sim,,,,,,,,,APRIMORAMENTO DAS FUNCIONALIDADES DO COMPETENCE APP PARA O ENFRENTAMENTO AO SEDENTARISMO E ADOÇÃO DE UM ESTILO DE VIDA ATIVO ATRAVÉS DA INTELIGÊNCIA ARTIFICIAL E GAMIFICAÇÃO,Projeto de extensão,Concluída,FACEPE,Programa de Extensão Tecnológica 2023,05/2023,2023,"R$ 24.600,00","R$ 0,00","R$ 0,00","R$ 24.600,00",Desenvolvimento tecnológico,11,0,0,0,0
15/06/2026 13:46:44,Tony Meireles dos Santos,,,,Sim,Sim,,,,,,,AVALIAÇÃO DA USABILIDADE DE UM APLICATIVO DE ORIENTAÇÃO DE ATIVIDADES FÍSICAS PARA SOBREVIVENTES DE CÂNCER DE MAMA SEGUNDO A PERCEPÇÃO DO USUÁRIO,Projeto de inovação/tecnologia,Concluída,CNPq,Edital PROPESQI ,004/2024,2024,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação tecnológica,1,12,8400,0,0
15/06/2026 13:55:27,Tony Meireles dos Santos,,,,,Sim,Sim,,,,,,IMPACTO DAS ORIENTAÇÕES DE ATIVIDADE FÍSICA DOMICILIAR NA REDUÇÃO DO COMPORTAMENTO SEDENTÁRIO EM SOBREVIVENTES DE CÂNCER DE MAMA,Projeto de inovação/tecnologia,Concluída,CNPq,EDITAL PROPESQI,Edital PROPESQI nº 004/2025,2025,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação tecnológica,1,12,8400,0,0
15/06/2026 21:46:38,Saulo Fernandes Melo de Oliveira,Sim,Sim,Sim,Sim,,,,,,,,"Análise descritiva das demandas energéticas, fisiológicas e biomecânicas de atletas de parabadminton",Projeto de pesquisa,Concluída,Outra,BWF Research Grant 2021-2022,BWF Research Grant 2021-2022,2021,"R$ 8.000.000,00","R$ 8.000.000,00",80000,0,Não se aplica,0,0,0,0,0
15/06/2026 21:49:30,Saulo Fernandes Melo de Oliveira,,Sim,,,,,,,,,,Avaliação da força-potência muscular e da velocidade do smash em atletas de parabadminton de acordo com a classificação funcional,Projeto de pesquisa,Concluída,Outra,BWF Research Grant,BWF Research Grant,2022,"R$ 45.000,00","R$ 45.000,00",45000,45000,Não se aplica,0,0,0,0,0
15/06/2026 21:52:04,Saulo Fernandes Melo de Oliveira,,,Sim,,,,,,,,,ANÁLISE DA ATIVAÇÃO MUSCULAR DOS MEMBROS SUPERIORES NA PROPULSÃO DIANTEIRA E REVERSA EM CADEIRA DE RODAS DE ATLETAS DE PARABADMINTON,Projeto de pesquisa,Concluída,Outra,BWF Research Grant,BWF Research Grant 2023-2024,2023,"R$ 30.000,00","R$ 30.000,00",0,0,Não se aplica,0,0,0,1,0
16/06/2026 10:03:50,Pedro Pinheiro Paes Neto,Sim,,,,,,,,,,,Comparação da resposta aguda entre o sistema Cluster baseado na redistribuição de repouso e o sistema tradicional do treinamento com peso sobre o nível de fadiga no desempenho técnico em jovens atletas de basquetebol: ensaio clínico randomizado,Bolsa,Concluída,FACEPE,PIBIC,1360-4.09/21,2021,"R$ 6.000,00","R$ 0,00",0,6000,Iniciação científica,1,12,6000,1,0
16/06/2026 11:37:40,Pedro Pinheiro Paes Neto,,,,Sim,Sim,,,,,,,Implicações do estímulo verbal e musical no desempenho de força em pessoas com e sem experiência de treinamento,Bolsa,Concluída,CNPq,PIBIC,04/2024,2024,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,1,0
16/06/2026 11:39:19,Pedro Pinheiro Paes Neto,,,,Sim,Sim,,,,,,,Efeito da privação visual no desempenho de força em indivíduos treinados e destreinados,Bolsa,Concluída,CNPq,PIBIC,04/2024,2024,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,1,0
16/06/2026 11:43:37,Pedro Pinheiro Paes Neto,Sim,Sim,,,,,,,,,,Comparação da resposta aguda entre o sistema cluster baseado na redistribuição e o sistema tradicional do treinamento resistido sobre os níveis de fadiga e desempenho técnico do drible em jovens atletas de basquetebol: ensaio clínico randomizado,Bolsa,Concluída,CNPq,PIBIC,04/21,2021,"R$ 4.800,00","R$ 0,00",0,4800,Iniciação científica,1,12,4800,1,0
16/06/2026 11:46:25,Pedro Pinheiro Paes Neto,Sim,Sim,,,,,,,,,,"Nível de atividade física, perfil do sono e qualidade de vida em profissionais noturnos",Bolsa,Concluída,CNPq,PIBIC,04/2021,2021,"R$ 4.800,00","R$ 0,00",0,4800,Iniciação científica,1,12,4800,1,0
16/06/2026 12:57:27,Ozeas de Lima Lins Filho,,,Sim,,,,,,,,,Exercício aeróbio para tratamento da apneia obstrutiva do sono: efeito da intensidade nas respostas hemodinâmicas,Bolsa,Concluída,CNPq,Edital de Iniciação Científica CNPq,,2023,"R$ 6.480,00","R$ 0,00",0,6480,Iniciação científica,1,12,6480,0,0
16/06/2026 12:59:15,Ozeas de Lima Lins Filho,,,,,Sim,,,,,,,EFEITO DO TREINAMENTO DE FORÇA NO ÍNDICE APNEIA-HIPOPNEIA EM ADULTOS COM APNEIA OBSTRUTIVA DO SONO: UM ENSAIO CLÍNICO RANDOMIZADO CONTROLADO,Bolsa,Em execução,CNPq,PIBIC,,2025,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,1,0
16/06/2026 13:00:28,Ozeas de Lima Lins Filho,,,,,Sim,,,,,,,EFEITO DO TREINAMENTO DE FORÇA NA MODULAÇÃO AUTONÔMICA EM ADULTOS COM APNEIA OBSTRUTIVA DO SONO: UM ENSAIO CLÍNICO RANDOMIZADO CONTROLADO,Bolsa,Em execução,CNPq,PIBIC,,2025,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,1,1
16/06/2026 13:02:36,Ozeas de Lima Lins Filho,,,,Sim,Sim,,,,,,,Treinamento de força para pessoas com doenças crônicas não transmissíveis -CCS/UFPE ano 2024/202,Projeto de extensão,Concluída,Outra,EXTENSÃO,,2024,"R$ 4.200,00","R$ 0,00",0,4200,Extensão,1,6,4200,1,0
16/06/2026 13:05:07,Ozeas de Lima Lins Filho,,,,,Sim,,,,,,,"ASSOCIAÇÃO LONGITUDINAL ENTRE NÍVEL DE ATIVIDADE FÍSICA, PERCEPÇÃO GLOBAL DE QUALIDADE, QUANTIDADE DE SONO E SONOLÊNCIA DIURNA EXCESSIVA EM MÃES DE CRIANÇAS AUTISTAS: UM ESTUDO LONGITUDINAL",Projeto de pesquisa,Em execução,CNPq,Mestrado CNPq,,2025,"R$ 50.400,00","R$ 0,00",0,50400,Mestrado,50400,24,50400,1,1
16/06/2026 13:08:47,Ozeas de Lima Lins Filho,,,,,,Sim,,,,,,Auxílio a Jovem Pesquisador,Auxílio individual,Aprovada aguardando implementação,PROPESQI/UFPE,Auxílio a Jovem Pesquisador PROPESQI,,2026,"R$ 10.000,00","R$ 10.000,00",10000,0,Outra,0,0,0,,
