excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
276,André dos Santos Costa,,REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO,,,"Efeitos de duas estrategias nutricionais associadas ao treinamento de forca sobre parametros antropometricos, composicao corporal e consumo alimentar em idosas: estudo randomizado controlado"
279,Leonardo Gomes de Oliveira Luz,,BMC PUBLIC HEALTH,,,What are the correlates of intention to be physically active in Brazilian adolescents? A network analysis
280,Paulo Felipe Ribeiro Bandeira,,BMC PUBLIC HEALTH,,,What are the correlates of intention to be physically active in Brazilian adolescents? A network analysis
282,Paulo Roberto Cavalcanti Carvalho,,REVISTA ELETRÔNICA ACERVO EM SAÚDE,,,Analise dos espacos publicos para pratica de atividade fisica no Distrito Sanitario II do RECIFE/PE
289,André dos Santos Costa,,Revista Brasileira de Educação Física e Esporte,,,Ansiedade-Estado Competitiva em Atletas Profissionais e Amadoras de Futebol Feminino
290,Bruno Teixeira Barbosa,,Applied Neuropsychology-Adult,,,"Effects of smartphone use before resistance exercise on inhibitory control, heart rate variability, and countermovement jump"
291,Saulo Fernandes Melo de Oliveira,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,2247806X,"Examining strength, muscular power, and maximal performance in the power clean among CrossFit® practitioners"
292,Ozeas de Lima Lins Filho,,Sleep Science (Online),,,ASSOCIATION BETWEEN SLEEP QUALITY AND CARDIAC AUTONOMIC MODULATION IN ADOLESCENTS: A CROSS SECTIONAL STUDY
293,Ozeas de Lima Lins Filho,,JOURNAL OF HYPERTENSION,,,Effect of 12-week high-intensity interval training on hemodynamic variables at rest and during exercise in patients with obstructive sleep apnoea
294,Ozeas de Lima Lins Filho,,Jornal Brasileiro de Pneumologia (Online),,,"Jornal Brasileiro de Pneumologia (Online), v"
296,Rafael dos Santos Henrique,,,,,Examining the Effects of Strength Training with Load Progression on Sleep Parameters and Mental Health in College Students
300,Leonardo Gomes de Oliveira Luz,,Revista de Educação Física,,,How to be physically active undersocial distancing? You need to exercise!
305,Paulo Felipe Ribeiro Bandeira,,ETHNOSCIENTIA,,,RECURSOS NATURAIS COMO ALTERNATIVA TERAPEUTICA EM UMA PERSPECTIVA DE GENEROS E URBANIZACAO
307,Saulo Fernandes Melo de Oliveira,,Revista Andaluza de Medicina Del Deporte,,,Efectos de la practica de artes marciales en personas con discapacidad intelectual: una revision sistematica
308,Ozeas de Lima Lins Filho,,BLOOD PRESSURE MONITORING,,,Prevalence of masked hypertension evaluated by home blood pressure monitoring in a large sample of patients with office blood pressure <140/90 mmHg
311,Leonardo Gomes de Oliveira Luz,,Human Movement,,,Generic motor tests as tools to identify sports talent: a systematic review
312,Rafael dos Santos Henrique,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,,"Age- and Sex-Specific Percentile Curves for the Test of Gross Motor Development From 7,263 Children Aged 3-5 Years From 13 Countries"
313,Paulo Felipe Ribeiro Bandeira,,,,,Identifying Fundamental Motor Skills Building Blocks in Preschool Children From Brazil and the United States: A Network Analysis
315,Clarice Maria de Lucena Martins,,,,,"The combination of three movement behaviours is associated with object control skills, but not locomotor skills, in preschoolers"
316,Clarice Maria de Lucena Martins,,,,,School-Time Movement Behaviors and Fundamental Movement Skills in Preschoolers: An Isotemporal Reallocation Analysis
318,Rafael dos Santos Henrique,,SPORTS MEDICINE,,,Motor Competence and Body Mass Index in the Preschool Years: A Pooled Cross-Sectional Analysis of 5545 Children from Eight Countries
319,Paulo Felipe Ribeiro Bandeira,,SPORTS MEDICINE,,,Motor Competence and Body Mass Index in the Preschool Years: A Pooled Cross-Sectional Analysis of 5545 Children from Eight Countries
320,Paulo Felipe Ribeiro Bandeira,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,,Motor Competence as Key to Support Healthy Development of 3- to 5-Year-Old Children: An Expert Statement on Behalf of the International Motor Development Research Consortium
321,Rafael dos Santos Henrique,,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,,,Sex differences in 3¿ to 5¿year¿old children's motor competence: A pooled cross¿sectional analysis of 6241 children
322,Paulo Felipe Ribeiro Bandeira,,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,,,Sex differences in 3- to 5-year-old children's motor competence: A pooled cross-sectional analysis of 6241 children
323,Paulo Felipe Ribeiro Bandeira,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,,"Age- and Sex-Specific Percentile Curves for the Test of Gross Motor Development From 7,263 Children Aged 3-5 Years From 13 Countries"
324,Paulo Felipe Ribeiro Bandeira,,EUROPEAN JOURNAL OF PEDIATRICS,,,"The combination of three movement behaviours is associated with object control skills, but not locomotor skills, in preschoolers"
326,Clarice Maria de Lucena Martins,,SPORTS MEDICINE,,,Motor Competence and Body Mass Index in the Preschool Years: A Pooled Cross-Sectional Analysis of 5545 Children from Eight Countries
327,Clarice Maria de Lucena Martins,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,,Identifying Fundamental Motor Skills Building Blocks in Preschool Children From Brazil and the United States: A Network Analysis
328,Saulo Fernandes Melo de Oliveira,,,,,Effect of Fatigue and Graded Running on Kinematics and Kinetics Parameters in Triathletes
330,André dos Santos Costa,,Revista Brasileira de Educação Física e Esporte,,,Efeito de 12 Semanas do Futebol Recreativo nas Funcoes Executivas e na Funcionalidade em Idosos
336,Saulo Fernandes Melo de Oliveira,,Revista da Associação Brasileira de Atividade Motora Adaptada,,,CORRELACOES ENTRE A CINEMATICA E CINETICA PROPULSIVA EM UM TESTE COM DINAMOMETRO COMPACTO DE CADEIRAS DE RODAS: UM ESTUDO PILOTO
337,Guilherme Assunção Ferreira,,Brazilian Journal of Medical and Biological Research (on line),,,Self-reported carbohydrate supercompensation and supplementation strategies adopted by Olympic triathlon athletes
345,Daniel da Rocha Queiroz,,Journal of Physical Activity & Health,,,Physical Activity Guidelines for the Brazilian Population: Recommendations Report
346,Saulo Fernandes Melo de Oliveira,,Muscles,,,Analysis of Muscle Strength and Electromyographic Activity during Different Deadlift Positions
348,Eduardo Zapaterra Campos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,1007-1018,"Acute Low-Dose Capsiate Supplementation Improves Upper Body Resistance Exercise Performance in Trained Men: A Randomized, Crossover and Double-Blind Study"
350,André dos Santos Costa,,EDUCACIÓN FÍSICA Y CIENCIA,,,Percepcao de Professores e Alunos sobre o uso de Tecnologias Interativas nas aulas de Educacao Fisica
358,Rafael dos Santos Henrique,,NATURE,,,Diminishing benefits of urban living for children and adolescents? growth and development
359,Rafael dos Santos Henrique,,LANCET,,,"Worldwide trends in underweight and obesity from 1990 to 2022: a pooled analysis of 3663 population- representative studies with 222 million children, adolescents, and adults"
365,Eduardo Zapaterra Campos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,,Two Different Approaches to Dry-land Training Do Not Improve the Water Performance of Swimmers
367,Tony Meireles dos Santos,,European Journal of Sport Science,,,Acute affective responses to high-intensity interval exercise: implications on the use of different stimulus-recovery amplitudes
368,Vilde Gomes de Menezes,,REVISTA BRASILEIRA DE EDUCAÇÃO,,2015-2019,Agenda de pesquisa em programas de pos-graduacao (stricto sensu) na tematica Educacao em Saude no periodo 2015-2019
370,Saulo Fernandes Melo de Oliveira,,JOURNAL OF HUMAN SPORT AND EXERCISE,,,Content Validation and Inter-rater Reliability of a Protocol for The Precision Assessment of Boccia Players
371,Saulo Fernandes Melo de Oliveira,,Revista Andaluza de Medicina Del Deporte,,,Reprodutibilidade teste-reteste de uma bateria de avaliacao motora para jogadores de bocha paralimpica
372,Saulo Fernandes Melo de Oliveira,,Revista da Associação Brasileira de Atividade Motora Adaptada,,,A ADIPOSIDADE CORPORAL E A AMPLITUDE ARTICULAR DE OMBROS PODEM INFLUENCIAR NO DESEMPENHO DA FORCA EXPLOSIVA DOS MEMBROS SUPERIORES EM LANCADORES PARALIMPICOS?
373,Saulo Fernandes Melo de Oliveira,,,,,Para Powerlifting Performance: A Systematic Review
