excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
513,Paulo Felipe Ribeiro Bandeira,,Obesities,,,"Twenty-Four-Hour Movement Behaviors, Fitness, and Adiposity in Preschoolers: A Network Analysis"
517,Vilde Gomes de Menezes,,Revista Plurais,,,O PROGRAMA SAUDE NA ESCOLA (PSE) NO ESTADO DE PERNAMBUCO: DA CARACTERIZACAO DO CENARIO A EFETIVIDADE DA POLITICA NOS MUNICIPIOS
518,Vilde Gomes de Menezes,,Revista Exitus,,,"EDUCACAO EM SAUDE NA REDE PUBLICA ESTADUAL DE EDUCACAO DE PERNAMBUCO:concepcoes de gestores, professores e estudantes"
519,Bruno Teixeira Barbosa,,REVISTA INTERDISCIPLINAR DE PESQUISA E INOVAÇÃO,,,Efeitos da preparacao para o movimento no desempenho funcional de idosos
522,Daniel da Rocha Queiroz,,Journal of Physical Activity & Health,,,Physical Activity Guidelines for the Brazilian Population: Development and Methods
523,Paulo Felipe Ribeiro Bandeira,,Frontiers in Psychology,,,The subject-environment interplay between runners from different Brazilian macro-regions
524,Saulo Fernandes Melo de Oliveira,,Revista da Associação Brasileira de Atividade Motora Adaptada,,,CORRELACOES ENTRE A CLASSIFICACAO FUNCIONAL E O DESEMPENHO MOTOR DE JOGADORES DE BASQUETEBOL DE CADEIRAS DE RODAS EXPERIENTES
528,Pedro Pinheiro Paes Neto,,JOURNAL OF HUMAN SPORT AND EXERCISE,,,Content validation and inter-rater reliability of a protocol for the precision assessment of boccia players
530,Paulo Felipe Ribeiro Bandeira,,Apunts Educacion Fisica Y Deportes,,,"Anthropometry, Tactical Position, Performance Parameters and Experience in Water Polo: Network Analysis"
534,Rafael dos Santos Henrique,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,Association between sleep indicators and eating habits in adolescents
535,Tony Meireles dos Santos,,"Recife: , 2023",,,UTILIZACAO DA INTELIGENCIA ARTIFICIAL ATRAVES DE UM SISTEMA ESPECIALISTA PARA A TOMADA DE DECISAO NO ENFRENTAMENTO AO SEDENTARISMO
536,Lucas Eduardo Rodrigues dos Santos,,"Recife: , 2023",,,UTILIZACAO DA INTELIGENCIA ARTIFICIAL ATRAVES DE UM SISTEMA ESPECIALISTA PARA A TOMADA DE DECISAO NO ENFRENTAMENTO AO SEDENTARISMO
538,André dos Santos Costa,,Arquivos de Ciências da Saúde da UNIPAR,,,Sindrome de burnout e atividade fisica em adolescentes no contexto da pandemia da Covid-19
539,Tony Meireles dos Santos,,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,,1361-1370,Efficacy of caffeine as an ergogenic aid in multiple cycling time trials
540,Daniel da Rocha Queiroz,,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,,,Correlatos da atividade fisica e do comportamento sedentario em criancas pre-escolares sul-americanas: Revisao de escopo
541,Clarice Maria de Lucena Martins,,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,,,Correlatos de atividade fisica e comportamento sedentario em criancas pre-escolares sul-americanas: revisao de escopo
542,Paulo Felipe Ribeiro Bandeira,,"Journal of Activity, Sedentary and Sleep Behaviors",,,An ecological view on the correlates of sedentary behavior in Brazilian adolescents: a cross-sectional study with network analysis
543,Leonardo Gomes de Oliveira Luz,,"Journal of Activity, Sedentary and Sleep Behaviors",,,An ecological view on the correlates of sedentary behavior in Brazilian adolescents: a cross-sectional study with network analysis
544,Tony Meireles dos Santos,,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,,,A -Further-Step- Toward Considering Exercise Session Duration in Training Prescription
545,Rafael dos Santos Henrique,,LANCET,,,General and abdominal adiposity and hypertension in eight world regions: a pooled analysis of 837 population-based studies with 7·5 million participants
546,Daniel da Rocha Queiroz,,LANCET,,,Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants
547,Rafael dos Santos Henrique,,LANCET,,,Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants
548,Rafael dos Santos Henrique,,NATURE,,,Obesity rise plateaus in developed nations and accelerates in developing nations
549,Rafael dos Santos Henrique,,LANCET,,,Worldwide trends in diabetes prevalence and treatment from 1990 to 2022: a pooled analysis of 1108 population-representative studies with 141 million participants
550,Rafael dos Santos Henrique,,NATURE MEDICINE,,2885-2901,Global variation in diabetes diagnosis and prevalence based on fasting glucose and hemoglobin A1c
