grupo,excel_row,docente,ano,periodico,doi_identificado,titulo_extraido_local
14,80,Tony Meireles dos Santos,,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,Proof-of-Concept and Test-Retest Reliability Study of Psychological and Physiological Variables of the Mental Fatigue Paradigm
14,106,Lucas Eduardo Rodrigues dos Santos,,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,Proof-of-Concept and Test-Retest Reliability Study of Psychological and Physiological Variables of the Mental Fatigue Paradigm
15,83,Rafael dos Santos Henrique,,JOURNAL OF APPLIED PHYSIOLOGY,10.1152/japplphysiol.00700.2025,Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts
15,86,Guilherme Assunção Ferreira,,JOURNAL OF APPLIED PHYSIOLOGY,10.1152/japplphysiol.00700.2025,Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts
16,95,Clarice Maria de Lucena Martins,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems
16,100,Paulo Felipe Ribeiro Bandeira,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems
17,96,Clarice Maria de Lucena Martins,,Applied Neuropsychology-Child,,"Biological, behavioral, and social correlates of executive function in low-income preschoolers: Insights from the perspective of the networks"
17,99,Paulo Felipe Ribeiro Bandeira,,APPLIED NEUROPSYCHOLOGY: CHILD,,"Biological, behavioral, and social correlates of executive function in low-income preschoolers: Insights from the perspective of the networks"
18,102,Rafael dos Santos Henrique,,RETOS,10.47197/retos.v72.113173,Gross motor coordination in schoolboys of pubertal age contrasting in futsal practice level groups
18,444,Leonardo Gomes de Oliveira Luz,,RETOS,10.47197/retos.v72.113173,Gross motor coordination in schoolboys of pubertal age contrasting in futsal practice level groups
19,110,Eduardo Zapaterra Campos,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,Evaluation of the effects of acute taurine supplementation on aerobic physical performance in active young adults
19,111,Pedro Pinheiro Paes Neto,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,Evaluation of the effects of acute taurine supplementation on aerobic physical performance in active young adults
20,128,Guilherme Assunção Ferreira,,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,Neural and Muscular Determinants of Performance Fatigability Are Independent of Work and Recovery Durations During High-Intensity Interval Exercise in Males
20,129,Rafael dos Santos Henrique,,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,Neural and Muscular Determinants of Performance Fatigability Are Independent of Work and Recovery Durations During High-Intensity Interval Exercise in Males
21,130,Lucas Eduardo Rodrigues dos Santos,,,,"A importancia do desenvolvimento do senso de comunidade e cooperacao entre startups, empresas, clubes esportivos e universidades brasileiras"
21,131,Tony Meireles dos Santos,,,,"A importancia do Desenvolvimento do Senso de Comunidade e Cooperacao Entre Startups, Empresas, Clubes Esportivos e Universidades Brasileiras"
21,132,Rafael dos Santos Henrique,,,,"A importancia do desenvolvimento do senso de comunidade e cooperacao entre startups, empresas, clubes esportivos e universidades brasileiras"
